page_id	article	section_number	route	source_title	source_sha256	play_count	image_count
moretypes/6	moretypes.article	6	/moretypes/6	Arrays	0ec503e46281eb8ff25ceba5b92c9f9c3b40517aeea77cf4878760ed0da9d29c	1	0
moretypes/7	moretypes.article	7	/moretypes/7	Slices	a169cf48dd659510ff7f1f8adfdbed5a247b51a1f7c3a45ae972f18921925033	1	0
moretypes/8	moretypes.article	8	/moretypes/8	Slices are like references to arrays	e577f9e98a9c871cdc6f39ecca1bdd0965c26da3b9ab6c2a7cab42b3b0f3a568	1	0
moretypes/9	moretypes.article	9	/moretypes/9	Slice literals	fb79cf8caed7abc7dfd92e90cf1bcc11d547b8af96d224f30fefc995f98dbb0b	1	0
moretypes/10	moretypes.article	10	/moretypes/10	Slice defaults	36d1f92fc5e51cddcd26be7f74a875e60bf24633dd7c8689672fa23a6720e2a1	1	0
moretypes/11	moretypes.article	11	/moretypes/11	Slice length and capacity	e2d7d69c946e5a01d8d0eab2e07a2bf35e23453a617d5e7602ff0af5c5866d8f	1	0
moretypes/12	moretypes.article	12	/moretypes/12	Nil slices	e7a4bb0d5e7928c2da06312d983eba2adb533b30299025f507df183f00fefc89	1	0
moretypes/13	moretypes.article	13	/moretypes/13	Creating a slice with make	d057e6bf75421597d430ff52f844499b5828ab2c4b4c5148ad88b6b89326ac20	1	0
moretypes/14	moretypes.article	14	/moretypes/14	Slices of slices	d8bee22c0382cf5fd5647c4d7106165d153cb15aaed8ec82e1f06e12ad0c73d1	1	0
moretypes/15	moretypes.article	15	/moretypes/15	Appending to a slice	f2fc257e7c5f118321acc3b75e946053601532d411e8540534280d7fba795289	1	0
moretypes/16	moretypes.article	16	/moretypes/16	Range	73fc46a2e049ce2ff4a4fc0595d717ed5d6e15b7093a6014509a48f501253186	1	0
moretypes/17	moretypes.article	17	/moretypes/17	Range continued	b52cca070f62a3ffeab3adf20f2745e1dd9aa2644a3985c23ac295e81e2c3bc9	1	0
moretypes/18	moretypes.article	18	/moretypes/18	Exercise: Slices	9c5fd763eaedec8e8bfb60f52713417ff247bc4467aa8a94412c55ab83c781ba	1	0
moretypes/19	moretypes.article	19	/moretypes/19	Maps	39107d53feaffd26d7bb13103fe6e40746e9844d9b37bbf84559f7b91db312f3	1	0
moretypes/20	moretypes.article	20	/moretypes/20	Map literals	1d3caa45093f65b50d5ebcff6a57559c3fe70faba85f3a0bb41db38c5375a507	1	0
